name,state,school,weight,classification,year,wins,losses,placement,final_record,seed,opponents_beaten
August Moser,NJ,Delbarton,285,OPEN,2026,3,2,9,3-2,6,Gabriel Gomez|Nolan Brewer|Braden Shields
Gavin Mericle,NJ,High Point,285,OPEN,2026,2,2,9,2-2,10,Andrew Chitacapa|Obreight Ingram
Jonah Jordan,NJ,Audubon,285,OPEN,2026,2,2,9,2-2,18,Gavin Mericle|Ben Ellis
Cole Ranley,NJ,River Dell,106,OPEN,2026,0,2,9,0-2,32,
Ronnie Rodriguez,NJ,St. Peter's Prep,106,OPEN,2026,1,2,9,1-2,16,Cole Ranley
Alexander Viscido,NJ,Robbinsville,106,OPEN,2026,1,2,9,1-2,9,Michael Rankin
Michael Rankin,NJ,Caldwell,106,OPEN,2026,0,2,9,0-2,25,
Frank Albright,NJ,Washington Township,106,OPEN,2026,0,2,9,0-2,28,
John Tarantino,NJ,Red Bank Catholic,106,OPEN,2026,2,2,9,2-2,12,Justin Jani|Frank Albright
Santino Edgar,NJ,CBA,106,OPEN,2026,7,0,3,7-0,13,Chase Young|Jonas Lusker|Forest Rose|Finn Andersen|Steven Vidal|Ray Burdette|David Peoples
Chase Young,NJ,Bergen Catholic,106,OPEN,2026,1,2,9,1-2,20,Alex Holdfeld
Alex Holdfeld,NJ,Wayne Valley,106,OPEN,2026,0,2,9,0-2,29,
Vincent Rainey,NJ,Delaware Valley,106,OPEN,2026,0,2,9,0-2,30,
David Peoples,NJ,Old Bridge,106,OPEN,2026,1,2,9,1-2,19,Vincent Rainey
Dominick Malfitano,NJ,Kinnelon,106,OPEN,2026,0,2,9,0-2,22,
Nicholas Nguyen,NJ,Passaic Tech,106,OPEN,2026,1,2,9,1-2,27,Dominick Malfitano
Rocco Caputo Jr.,NJ,Cedar Grove,106,OPEN,2026,2,2,9,2-2,7,Jake Appello|Alexander Dyki
Alexander Dyki,NJ,Northern Highlands,106,OPEN,2026,0,2,9,0-2,23,
Adam Froehlich,NJ,Delsea,106,OPEN,2026,3,2,9,3-2,15,Rocco Caputo Jr.|Daniel Berardi|Luke Eberhard
Luke Eberhard,NJ,Rumson-Fair Haven,106,OPEN,2026,0,2,9,0-2,31,
Sayan Rao,NJ,Holmdel,113,OPEN,2026,0,2,9,0-2,32,
Chase Dubuque,NJ,Delran,113,OPEN,2026,2,2,9,2-2,16,Iyon Townsend|Sayan Rao
Tanner Connelly,NJ,Ridge,113,OPEN,2026,4,3,8,4-3,9,Matty Ortega|Chase Dubuque|Omar Carrillo-Solano|Gabriel Roman
Gabriel Roman,NJ,Perth Amboy,113,OPEN,2026,0,2,9,0-2,25,
Andrew Adell,NJ,Bridgewater-Raritan,113,OPEN,2026,1,2,9,1-2,28,Alex Rosciano
Alex Rosciano,NJ,Delbarton,113,OPEN,2026,0,2,9,0-2,21,
Michael Napolitano,NJ,Brick Memorial,113,OPEN,2026,3,1,9,3-1,13,Matthew Pagan|Ryan Blewett|Steven Malfitano
Matthew Pagan,NJ,Kearny,113,OPEN,2026,1,2,9,1-2,20,Evan Constante
Matty Ortega,NJ,Johnson,113,OPEN,2026,1,1,9,1-1,4,Evan Constante
Evan Constante,NJ,Emerson/Park Ridge,113,OPEN,2026,0,2,9,0-2,29,
Steven Malfitano,NJ,Kinnelon,113,OPEN,2026,1,2,9,1-2,30,Liam Kisby
Liam Kisby,NJ,Absegami,113,OPEN,2026,0,2,9,0-2,19,
Chase Millan,NJ,Northern Burlington,113,OPEN,2026,1,2,9,1-2,22,Phillip Griffin
Phillip Griffin,NJ,Rahway,113,OPEN,2026,0,2,9,0-2,27,
Luke Manieri,NJ,Montville,113,OPEN,2026,1,2,9,1-2,26,Frank Figel
Frank Figel,NJ,Jefferson,113,OPEN,2026,0,2,9,0-2,10,
Nick Banos,NJ,Southern,113,OPEN,2026,3,1,9,3-1,18,Joseph Formosa|Evan Villecco|Danny D'Arcy
Danny D'Arcy,NJ,St. Benedict's,113,OPEN,2026,0,2,9,0-2,31,
Jaydon Sulca,NJ,Bergenfield,120,OPEN,2026,0,2,9,0-2,32,
Jaeczar Evans,NJ,Rahway,120,OPEN,2026,1,2,9,1-2,17,Jaydon Sulca
Alec Murado,NJ,Demarest,120,OPEN,2026,1,2,9,1-2,24,Joseph Vezzosi
Joseph Vezzosi,NJ,Red Bank Catholic,120,OPEN,2026,0,2,9,0-2,23,
Casey Pekula,NJ,St. Augustine,120,OPEN,2026,0,2,9,0-2,28,
Anthony Pettinelli,NJ,Phillipsburg,120,OPEN,2026,1,2,9,1-2,21,Casey Pekula
Bryce Paley,NJ,Lower Cape May,120,OPEN,2026,1,1,9,1-1,13,Noah Hernandez
Noah Hernandez,NJ,Seton Hall Prep,120,OPEN,2026,0,2,9,0-2,20,
Cole Rebels,NJ,Mount Olive,120,OPEN,2026,5,2,7,5-2,29,Michael Daly|Eamon Fry|Shane Maghan|Ryan McConaghy|Noah Hernandez
Liam Suydam,NJ,Moorestown,120,OPEN,2026,0,2,9,0-2,30,
Muhammad Abuhadba,NJ,Passaic Tech,120,OPEN,2026,2,2,9,2-2,14,Bryce Paley|Liam Suydam
Julian Arango,NJ,St. Joseph Metuchen,120,OPEN,2026,0,2,9,0-2,11,
Chase Wright,NJ,Collingswood,120,OPEN,2026,1,2,9,1-2,27,Julian Arango
Owen Boyle,NJ,Lenape,120,OPEN,2026,0,2,9,0-2,26,
Micah Loudermilk,NJ,Bergen Catholic,120,OPEN,2026,1,2,9,1-2,23,Owen Boyle
David Vazquez,NJ,North Bergen,120,OPEN,2026,2,2,9,2-2,18,Jacob Richardson|Tyler Northern
Tyler Northern,NJ,Edison,120,OPEN,2026,0,2,9,0-2,31,
Rohi Hubert,NJ,Glen Rock,126,OPEN,2026,0,2,9,0-2,32,
Jason Marasco,NJ,Northern Burlington,126,OPEN,2026,1,2,9,1-2,16,Rohi Hubert
Reid Buzby,NJ,North Hunterdon,126,OPEN,2026,0,2,9,0-2,9,
Jarrett Rodriguez,NJ,Clifton,126,OPEN,2026,2,2,9,2-2,25,Nico DeRado|Reid Buzby
Cole DeAngelo,NJ,Red Bank Catholic,126,OPEN,2026,0,2,9,0-2,28,
Augie Szamreta,NJ,Warren Hills,126,OPEN,2026,1,2,9,1-2,12,Cole DeAngelo
